title,journal,year,citation,citation_per_year,author,URL
A novel Bayesian approach to adaptive mean shift segmentation of brain images,2012 25th IEEE …,2012,20,2,"['Q Mahmood', 'A Chodorowski']",https://core.ac.uk/download/pdf/70596714.pdf
Bayesian adaptive dual control of deep brain stimulation in a computational model of Parkinson's disease,PLoS computational biology,2018,16,4,"['LL Grado', 'MD Johnson', 'TI Netoff']",https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1006606
Probabilistic brain atlas encoding using bayesian inference,International Conference on Medical Image Computing …,2006,28,1,['K Van Leemput'],https://link.springer.com/content/pdf/10.1007/11866565_86.pdf
Childhood brain cancer in Florida: a Bayesian clustering approach,Statistics and Public Policy,2014,20,2,"['AB Lawson', 'C Rotejanaprasert']",https://www.tandfonline.com/doi/pdf/10.1080/2330443X.2014.970247
Bayesian hypothesis testing for pattern discrimination in brain decoding,Pattern Recognition,2012,25,2,"['E Olivetti', 'S Veeramachaneni', 'E Nowakowska']",https://www.researchgate.net/profile/Emanuele_Olivetti/publication/220603514_Bayesian_hypothesis_testing_for_pattern_discrimination_in_brain_decoding/links/5b61694daca272a2d6790522/Bayesian-hypothesis-testing-for-pattern-discrimination-in-brain-decoding.pdf
A general method of Bayesian estimation for parametric imaging of the brain,Neuroimage,2009,18,1,"['NM Alpert', 'F Yuan']",https://tauruspet.med.yale.edu/staff/edm42/papers/journal-club/Alpert-Neuroimage2009-Bayesian.pdf
Brain effective connectivity modeling for Alzheimer's disease by sparse Gaussian Bayesian network,Proceedings of the 17th …,2011,25,2,"['S Huang', 'J Li', 'J Ye', 'A Fleisher', 'K Chen', 'T Wu']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4779440/
Computational neuropsychology and Bayesian inference,Frontiers in human neuroscience,2018,80,20,"['T Parr', 'G Rees', 'KJ Friston']",https://www.frontiersin.org/articles/10.3389/fnhum.2018.00061/full?utm_source=G-BLO&utm_medium=WEXT&utm_campaign=ECO_FNHUM_20180216_bayesian-models
A Bayesian diagnostic system to differentiate glioblastomas from solitary brain metastases,The …,2013,17,1,"['R Chen', 'S Wang', 'H Poptani']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5228726/
Brain decoding-classification of hand written digits from fMRI data employing bayesian networks,Frontiers in human neuroscience,2016,14,2,"['E Yargholi', 'GA Hossein-Zadeh']",https://www.frontiersin.org/articles/10.3389/fnhum.2016.00351/full
Bayesian assessment of newborn brain maturity from two-channel sleep electroencephalograms,Computational and mathematical …,2012,18,1,"['L Jakaite', 'V Schetinin', 'C Maple']",https://www.hindawi.com/journals/cmmm/2012/629654/abs/
"Bayesian inference of high-dimensional, cluster-structured ordinary differential equation models with applications to brain connectivity studies",Annals of Applied …,2017,13,2,"['T Zhang', 'Q Yin', 'B Caffo', 'Y Sun']",https://projecteuclid.org/download/pdfview_1/euclid.aoas/1500537727
"Hemodynamic segmentation of MR brain perfusion images using independent component analysis, thresholding, and Bayesian estimation",… in Medicine: An …,2003,49,2,"['YH Kao', 'WY Guo', 'YT Wu', 'KC Liu']",https://onlinelibrary.wiley.com/doi/pdf/10.1002/mrm.10440
Inferring the 1985–2014 impact of mobile phone use on selected brain cancer subtypes using Bayesian structural time series and synthetic controls,Environment international,2016,31,5,['F de Vocht'],https://www.sciencedirect.com/science/article/pii/S0160412016303865
A Bayesian hierarchical framework for modeling brain connectivity for neuroimaging data,Biometrics,2016,12,2,"['S Chen', 'FDB Bowman', 'HS Mayberg']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4846590/
Recursive bayesian coding for bcis,… on Neural Systems …,2016,21,3,"['M Higger', 'F Quivira', 'M Akcakaya']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5536189/
Probabilistic models of the brain: Perception and neural function,NA,2002,341,17,"['RPN Rao', 'BA Olshausen', 'MS Lewicki']",http://www.cs.toronto.edu/~fleet/research/Papers/weissfleetChapt.pdf
Robust fuzzy c-means clustering algorithm using non-parametric Bayesian estimation in wavelet transform domain for noisy MR brain image segmentation,IET Image Processing,2018,13,3,"['N Chetih', 'Z Messali', 'A Serir', 'N Ramou']","/scholar?output=instlink&q=info:XIqcZs-_H10J:scholar.google.com/&hl=en&as_sdt=0,33&scillfp=5375564678978582781&oi=lle"
A Bayesian variable selection approach yields improved detection of brain activation from complex-valued fMRI,Journal of the American …,2018,11,2,"['CH Yu', 'R Prado', 'H Ombao']",https://repository.kaust.edu.sa/bitstream/handle/10754/628413/8_7_2018_A%20Bayesian.pdf?sequence=1&isAllowed=y
Bayesian perception is ecological perception,Philosophical Topics,2016,42,7,['N Orlandi'],http://mindsonline.philosophyofbrains.com/wp-content/uploads/2015/09/Orlandi-Minds-2015.pdf
A Bayesian approach to the creation of a study-customized neonatal brain atlas,Neuroimage,2014,12,1,"['Y Zhang', 'L Chang', 'C Ceritoglu', 'J Skranes', 'T Ernst']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4165785/
Confidence as Bayesian probability: From neural origins to behavior,Neuron,2015,202,28,"['F Meyniel', 'M Sigman', 'ZF Mainen']",https://www.sciencedirect.com/science/article/pii/S0896627315008284
BSMac: A MATLAB toolbox implementing a Bayesian spatial model for brain activation and connectivity,Journal of neuroscience …,2012,13,1,"['L Zhang', 'S Agravat', 'G Derado', 'S Chen']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3341733/
Classification of brain activation via spatial Bayesian variable selection in fMRI regression,Advances in Data Analysis and …,2014,18,2,"['S Kalus', 'PG Sämann', 'L Fahrmeir']",https://www.researchgate.net/profile/Philipp_Saemann/publication/257705511_Classification_of_brain_activation_via_spatial_Bayesian_variable_selection_in_fMRI_regression/links/56ca51cb08ae11063709d791/Classification-of-brain-activation-via-spatial-Bayesian-variable-selection-in-fMRI-regression.pdf
Fully bayesian joint model for MR brain scan tissue and structure segmentation,International Conference on …,2008,23,1,"['B Scherrer', 'F Forbes', 'C Garbay', 'M Dojat']",https://link.springer.com/content/pdf/10.1007/978-3-540-85990-1_128.pdf
Bayesian brain source imaging based on combined MEG/EEG and fMRI using MCMC,NeuroImage,2008,35,2,"['SC Jun', 'JS George', 'W Kim', 'J Paré-Blagoev', 'S Plis']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2929566/
A Bayesian double fusion model for resting-state brain connectivity using joint functional and structural data,Brain …,2017,10,2,"['H Kang', 'H Ombao', 'C Fonnesbeck', 'Z Ding']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5444499/
Cortical hierarchies perform Bayesian causal inference in multisensory perception,PLoS Biol,2015,196,28,"['T Rohe', 'U Noppeney']",https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.1002073
Bayesian feature selection applied in a P300 brain-computer interface,2008 16th European …,2008,22,1,"['U Hoffmann', 'A Yazdani', 'JM Vesin']",https://infoscience.epfl.ch/record/125010/files/1569105298.pdf
Multiple linear regression: Bayesian inference for distributed and Big Data in the Medical Informatics Platform of the Human Brain Project,BioRxiv,2018,11,2,"['L Melie-Garcia', 'B Draganski', 'J Ashburner', 'F Kherif']",https://www.biorxiv.org/content/biorxiv/early/2018/01/05/242883.full.pdf
The free-energy principle: a rough guide to the brain?,Trends in cognitive sciences,2009,1351,103,['K Friston'],https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.439.3475&rep=rep1&type=pdf
"Empirical and substantive models, the Bayesian paradigm, and meta‐analysis in functional brain imaging",Human brain mapping,1997,20,0,['N Lange'],https://onlinelibrary.wiley.com/doi/pdf/10.1002/(SICI)1097-0193(1997)5:4%3C259::AID-HBM10%3E3.0.CO;2-9
Bayesian filtering of human brain hemodynamic activity elicited by visual short-term maintenance recorded through functional near-infrared spectroscopy (fNIRS),Optics …,2010,30,2,"['F Scarpa', 'S Cutini', 'P Scatturin', ""R Dell'Acqua""]",https://www.osapublishing.org/viewmedia.cfm?uri=oe-18-25-26550&seq=0
Automated classification of brain tumours from short echo time in vivo MRS data using Gaussian Decomposition and Bayesian Neural Networks,Expert systems with …,2014,19,2,"['C Arizmendi', 'DA Sierra', 'A Vellido', 'E Romero']",https://www.cs.upc.edu/~eromero/Publications/Downloads/2014-eswa-gaudis-mrs.pdf
When the world becomes 'too real': a Bayesian explanation of autistic perception,Trends in cognitive sciences,2012,778,77,"['E Pellicano', 'D Burr']",https://discovery.ucl.ac.uk/id/eprint/1476122/3/Pellicano_TiCS_autism_final%20accepted.pdf
Entropic Brain-computer Interfaces-Using fNIRS and EEG to Measure Attentional States in a Bayesian Framework.,PhyCS,2017,11,2,"['SW Hincks', 'S Bratt', 'S Poudel', 'VV Phoha', 'RJK Jacob']",http://www.cs.tufts.edu/~jacob/papers/hincks.entropic.phycs17.pdf
